instance,best,avg. fitness, std fitness,best,avg. fitness, std fitness,best,avg. fitness, std fitness, best,avg. fitness, std fitness
F7,0.0027858818668928,0.042,0.03,32.113466341200656,67.998,22.21,1.1191844732230658,12.734,8.899,0.1275915219911785,1.178,0.713,3.033372228722353e-05,0.001,0.001 
F8,-3099.006761572257,-2288.192,350.631,-6576.483390727627,-5018.181,674.899,-4539.063793492016,-3163.974,374.597,-7000.775049106174,-5753.52,857.927,-3995.6145336402737,-2903.433,410.153 
F9,10.029598230659474,28.162,14.055,250.97559025364063,333.417,45.434,68.93665559285299,159.695,55.879,199.56622888731357,271.065,45.266,0.0,0.0,0.0 
F10,0.0963896062734943,0.954,0.702,19.69605048986064,19.954,0.088,12.301494970550152,18.752,2.389,8.122859736944502,19.57,2.126,4.440892098500626e-16,0.0,0.0 
F7,0.0027858818668928,0.042,0.03,32.113466341200656,67.998,22.21,1.1191844732230658,12.734,8.899,0.1275915219911785,1.178,0.713,3.033372228722353e-05,0.001,0.001 
F8,-3099.006761572257,-2288.192,350.631,-6576.483390727627,-5018.181,674.899,-4539.063793492016,-3163.974,374.597,-7000.775049106174,-5753.52,857.927,-3995.6145336402737,-2903.433,410.153 
F9,10.029598230659474,28.162,14.055,250.97559025364063,333.417,45.434,68.93665559285299,159.695,55.879,199.56622888731357,271.065,45.266,0.0,0.0,0.0 
F10,0.0963896062734943,0.954,0.702,19.69605048986064,19.954,0.088,12.301494970550152,18.752,2.389,8.122859736944502,19.57,2.126,4.440892098500626e-16,0.0,0.0 
F7,0.0027858818668928,0.042,0.03,32.113466341200656,67.998,22.21,1.1191844732230658,12.734,8.899,0.1275915219911785,1.178,0.713,3.033372228722353e-05,0.001,0.001 
F8,-3099.006761572257,-2288.192,350.631,-6576.483390727627,-5018.181,674.899,-4539.063793492016,-3163.974,374.597,-7000.775049106174,-5753.52,857.927,-3995.6145336402737,-2903.433,410.153 
F9,10.029598230659474,28.162,14.055,250.97559025364063,333.417,45.434,68.93665559285299,159.695,55.879,199.56622888731357,271.065,45.266,0.0,0.0,0.0 
F10,0.0963896062734943,0.954,0.702,19.69605048986064,19.954,0.088,12.301494970550152,18.752,2.389,8.122859736944502,19.57,2.126,4.440892098500626e-16,0.0,0.0 
F7,0.0027858818668928,0.042,0.03,32.113466341200656,67.998,22.21,1.1191844732230658,12.734,8.899,0.1275915219911785,1.178,0.713,3.033372228722353e-05,0.001,0.001 
F8,-3099.006761572257,-2288.192,350.631,-6576.483390727627,-5018.181,674.899,-4539.063793492016,-3163.974,374.597,-7000.775049106174,-5753.52,857.927,-3995.6145336402737,-2903.433,410.153 
F9,10.029598230659474,28.162,14.055,250.97559025364063,333.417,45.434,68.93665559285299,159.695,55.879,199.56622888731357,271.065,45.266,0.0,0.0,0.0 
F10,0.0963896062734943,0.954,0.702,19.69605048986064,19.954,0.088,12.301494970550152,18.752,2.389,8.122859736944502,19.57,2.126,4.440892098500626e-16,0.0,0.0 
